nro,empresa,origen,sector,gradoAvanceRadicación,direccion,direccion2,latitude,longitude,noticias,url,meta keywords (de la pagina web),linkedin,"linkedin class=""basic-info-description""","nombre completo (<span itemprop=""name"">EMPRESA</span>) de Cuit Online",cuit,cuit online,,latitud,longitud,g_lat,g_lon,LineString,URL Google Maps,URL OSM,URL Gob,CALLE,NRO,Asignee,ExtraCol
12,ENTORNOS EDUCATIVOS,Nac.,SOFTWARE,En Operación,JUJUY 1963 PISO 9D,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.409813 -34.653011, -58.4097897 -34.6529729)"
13,GRUPO GC,Nac.,SOFTWARE,En Operación,ESTEBAN DE LUCA 1981,ESTEBAN DE LUCA 1981,-34.63346,-58.402957,[],,,,,,,,,-34.63346,-58.402957,-34.6334137,-58.4029983,"LINESTRING(-58.402957 -34.63346,-58.4029982999999 -34.6334137)","https://maps.googleapis.com/maps/api/geocode/json?address=ESTEBAN DE LUCA 1981, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ESTEBAN DE LUCA 1981, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
14,CORA-DIR,Nac.,HARDWARE,En Operación,USPALLATA 2853/57,USPALLATA 2853,-34.638932,-58.402139,[],,,,,,,,,-34.638932,-58.402139,-34.6390239,-58.4024345,"LINESTRING(-58.402139 -34.638932,-58.4024345 -34.6390239)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 2853, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 2853, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.402957 -34.63346, -58.4029982999999 -34.6334137)"
15,NOVATECH,Nac.,HARDWARE,En Operación,USPALLATA 2768/70/72,USPALLATA 2768,-34.638767,-58.400868,[],,,,,,,,,-34.638767,-58.400868,-34.6387577,-58.4008321,"LINESTRING(-58.400868 -34.638767,-58.4008321 -34.6387577)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 2768, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 2768, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.402139 -34.638932, -58.4024345 -34.6390239)"
16,DINATECH,Nac.,BPO,En Operación,Zavaleta 85,ZAVALETA 85,-34.637712,-58.403644,[],,,,,,,,,-34.637712,-58.403644,-34.6378306,-58.4035275,"LINESTRING(-58.403644 -34.637712,-58.4035275 -34.6378306)","https://maps.googleapis.com/maps/api/geocode/json?address=ZAVALETA 85, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ZAVALETA 85, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.400868 -34.638767, -58.4008321 -34.6387577)"
17,HIT 1,Nac.,DATA CENTER,En Operación,CHICLANA 3345,CHICLANA 3345,-34.63447,-58.411518,[],,,,,,,,,-34.63447,-58.411518,-34.6344402,-58.4119357,"LINESTRING(-58.411518 -34.63447,-58.4119357 -34.6344402)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3345, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3345, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.403644 -34.637712, -58.4035275 -34.6378306)"
18,BANGHO,Nac.,HARDWARE,En Operación,BRASIL 3031/33,AV. BRASIL 3031,-34.633812,-58.406678,[],,,,,,,,,-34.633812,-58.406678,-34.6338347,-58.4065917,"LINESTRING(-58.406678 -34.633812,-58.4065917 -34.6338347)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. BRASIL 3031, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. BRASIL 3031, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.411518 -34.63447, -58.4119357 -34.6344402)"
19,SERSAT,Nac.,BPO,En Operación,JUJUY 1956,AV. JUJUY 1956,-34.633168,-58.399815,[],,,,,,,,,-34.633168,-58.399815,-34.6331802,-58.3998048,"LINESTRING(-58.399815 -34.633168,-58.3998048 -34.6331802)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1956, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1956, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.406678 -34.633812, -58.4065917 -34.6338347)"
20,GRUPO NUCLEO,Nac.,HARDWARE,En Operación,USPALLATA 2768/2776,USPALLATA 2768,-34.638767,-58.400868,[],,,,,,,,,-34.638767,-58.400868,-34.6387577,-58.4008321,"LINESTRING(-58.400868 -34.638767,-58.4008321 -34.6387577)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 2768, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 2768, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.399815 -34.633168, -58.3998048 -34.6331802)"
21,BANK,Nac.,BPO,En Operación,DIOGENES TABORDA 73,DIOGENES TABORDA 73,-34.639427,-58.412995,[],,,,,,,,,-34.639427,-58.412995,-34.6394158,-58.4129665,"LINESTRING(-58.412995 -34.639427,-58.4129664999999 -34.6394158)","https://maps.googleapis.com/maps/api/geocode/json?address=DIOGENES TABORDA 73, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DIOGENES TABORDA 73, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.400868 -34.638767, -58.4008321 -34.6387577)"
22,QUANTUM TECNOLOGÍA,Nac.,SOFTWARE,En Operación,LAVARDEN 145,LAVARDEN 145,-34.638022,-58.401813,[],,,,,,,,,-34.638022,-58.401813,-34.6381395,-58.4017522,"LINESTRING(-58.401813 -34.638022,-58.4017522 -34.6381395)","https://maps.googleapis.com/maps/api/geocode/json?address=LAVARDEN 145, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LAVARDEN 145, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.412995 -34.639427, -58.4129664999999 -34.6394158)"
23,MEGATECH,Nac.,HARDWARE,En Operación,PATAGONES 2827 PISO 3y4,PATAGONES 2827,-34.637695,-58.402283,[],,,,,,,,,-34.637695,-58.402283,-34.637673,-58.402214,"LINESTRING(-58.402283 -34.637695,-58.402214 -34.637673)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2827, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2827, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.401813 -34.638022, -58.4017522 -34.6381395)"
25,SENSEBYTE,Nac.,SOFTWARE,En Operación,LA RIOJA 2011,LA RIOJA 2011,-34.634845,-58.405875,[],,,,,,,,,-34.634845,-58.405875,-34.6349557,-58.4059878,"LINESTRING(-58.405875 -34.634845,-58.4059878 -34.6349557)","https://maps.googleapis.com/maps/api/geocode/json?address=LA RIOJA 2011, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LA RIOJA 2011, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.402283 -34.637695, -58.402214 -34.637673)"
26,MSA,Nac.,SOFTWARE,En Operación,ATUEL 362,ATUEL 362,-34.642114,-58.407407,[],,,,,,,,,-34.642114,-58.407407,-34.6420402,-58.4074506,"LINESTRING(-58.407407 -34.642114,-58.4074506 -34.6420402)","https://maps.googleapis.com/maps/api/geocode/json?address=ATUEL 362, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ATUEL 362, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.405875 -34.634845, -58.4059878 -34.6349557)"
27,E-NFO,Nac.,SOFTWARE,En Operación,LOS PATOS 2650,LOS PATOS 2650,-34.639511,-58.398401,[],,,,,,,,,-34.639511,-58.398401,-34.6394644,-58.3983078,"LINESTRING(-58.398401 -34.639511,-58.3983078 -34.6394644)","https://maps.googleapis.com/maps/api/geocode/json?address=LOS PATOS 2650, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LOS PATOS 2650, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.407407 -34.642114, -58.4074506 -34.6420402)"
28,TECDIA,Nac.,BPO,En Operación,COLONIA 156/170,COLONIA 156,-34.637635,-58.398115,[],,,,,,,,,-34.637635,-58.398115,-34.6376595,-58.3981944,"LINESTRING(-58.398115 -34.637635,-58.3981943999999 -34.6376595)","https://maps.googleapis.com/maps/api/geocode/json?address=COLONIA 156, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=COLONIA 156, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.398401 -34.639511, -58.3983078 -34.6394644)"
29,CONSULTORES TRAVERSO,Nac.,BPO,En Operación,JUJUY 1915 PISO 5B,AV. JUJUY 1915,-34.632942,-58.400126,[],,,,,,,,,-34.632942,-58.400126,-34.6328125,-58.4001099,"LINESTRING(-58.400126 -34.632942,-58.4001099 -34.6328125)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1915, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1915, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.398115 -34.637635, -58.3981943999999 -34.6376595)"
30,NOVATIUM,Nac.,SOFTWARE,En Operación,ESTEBAN DE LUCA 1963,ESTEBAN DE LUCA 1963,-34.633233,-58.403018,[],,,,,,,,,-34.633233,-58.403018,-34.6332534,-58.4030342,"LINESTRING(-58.403018 -34.633233,-58.4030342 -34.6332534)","https://maps.googleapis.com/maps/api/geocode/json?address=ESTEBAN DE LUCA 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ESTEBAN DE LUCA 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.400126 -34.632942, -58.4001099 -34.6328125)"
31,TESAM,Nac.,SOFTWARE,En Operación,MAZA 2140,MAZA 2140,-34.636448,-58.413652,[],,,,,,,,,-34.636448,-58.413652,-34.6365445,-58.4136588,"LINESTRING(-58.413652 -34.636448,-58.4136588 -34.6365445)","https://maps.googleapis.com/maps/api/geocode/json?address=MAZA 2140, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MAZA 2140, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.403018 -34.633233, -58.4030342 -34.6332534)"
32,YEL INFORMATICA,Nac.,SOFTWARE,En Operación,CASEROS 3227 PISO 5B,AV. CASEROS 3227,-34.637758,-58.409748,[],,,,,,,,,-34.637758,-58.409748,-34.6377278,-58.40985,"LINESTRING(-58.409748 -34.637758,-58.40985 -34.6377278)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3227, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3227, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.413652 -34.636448, -58.4136588 -34.6365445)"
33,COMPUSISTEM,Nac.,SOFTWARE,En Operación,RONDEAU 2520 PB OF.04,RONDEAU 2520,-34.634612,-58.398177,[],,,,,,,,,-34.634612,-58.398177,-34.6345677,-58.3982191,"LINESTRING(-58.398177 -34.634612,-58.3982191 -34.6345677)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2520, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2520, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.409748 -34.637758, -58.40985 -34.6377278)"
34,PRONTO SISTEMA,Nac.,BPO,En Operación,JOSE C. PAZ 2936,JOSE C. PAZ 2936,-34.64397,-58.403055,[],,,,,,,,,-34.64397,-58.403055,-34.6440014,-58.403018,"LINESTRING(-58.403055 -34.64397,-58.403018 -34.6440014)","https://maps.googleapis.com/maps/api/geocode/json?address=JOSE C. PAZ 2936, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=JOSE C. PAZ 2936, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.398177 -34.634612, -58.3982191 -34.6345677)"
35,PRESMIA,Nac.,SOFTWARE,En Operación,"JUJUY 1963,  PISO 8. OF C Y D ",AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.403055 -34.64397, -58.403018 -34.6440014)"
36,NEXT NETWORKS,Nac.,BPO,En Operación,JUJUY 1963 PISO 5D,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
37,DATAN,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 3230 PISO 2 OFIC. 24,CATULO CASTILLO 3230,-34.635597,-58.409747,[],,,,,,,,,-34.635597,-58.409747,-34.6355627,-58.4097417,"LINESTRING(-58.409747 -34.635597,-58.4097417 -34.6355627)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3230, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3230, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
38,CAPTTON CONSULTING,Nac.,BPO,En Operación,LA RIOJA 2197 1º3,LA RIOJA 2197,-34.636924,-58.405691,[],,,,,,,,,-34.636924,-58.405691,-34.6369726,-58.4057782,"LINESTRING(-58.405691 -34.636924,-58.4057782 -34.6369726)","https://maps.googleapis.com/maps/api/geocode/json?address=LA RIOJA 2197, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LA RIOJA 2197, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.409747 -34.635597, -58.4097417 -34.6355627)"
40,IS SECURITY,Nac.,SOFTWARE,En Operación,RONDEAU 2575,RONDEAU 2575,-34.634642,-58.398933,[],,,,,,,,,-34.634642,-58.398933,-34.6345872,-58.3989832,"LINESTRING(-58.398933 -34.634642,-58.3989832 -34.6345872)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2575, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2575, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.405691 -34.636924, -58.4057782 -34.6369726)"
42,IMPLEMENTAR,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 3230 PISO 1 OFIC. 12,CATULO CASTILLO 3230,-34.635597,-58.409747,[],,,,,,,,,-34.635597,-58.409747,-34.6355627,-58.4097417,"LINESTRING(-58.409747 -34.635597,-58.4097417 -34.6355627)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3230, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3230, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.398933 -34.634642, -58.3989832 -34.6345872)"
43,DATASTAR,Nac.,BPO,En Operación,JUJUY 1915 PISO 5C,AV. JUJUY 1915,-34.632942,-58.400126,[],,,,,,,,,-34.632942,-58.400126,-34.6328125,-58.4001099,"LINESTRING(-58.400126 -34.632942,-58.4001099 -34.6328125)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1915, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1915, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.409747 -34.635597, -58.4097417 -34.6355627)"
45,TIGABYTES,Nac.,SOFTWARE,En Obra,"Av. CASEROS 2602, PISO 5",AV. CASEROS 2602,-34.636011,-58.399064,[],,,,,,,,,-34.636011,-58.399064,-34.6359238,-58.3988878,"LINESTRING(-58.399064 -34.636011,-58.3988878 -34.6359238)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 2602, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 2602, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.400126 -34.632942, -58.4001099 -34.6328125)"
46,FARMARECORD,Nac.,SOFTWARE,En Operación,PEPIRÍ 254,PEPIRÍ 254,-34.641037,-58.408949,[],,,,,,,,,-34.641037,-58.408949,-34.6410635,-58.4090025,"LINESTRING(-58.408949 -34.641037,-58.4090025 -34.6410635)","https://maps.googleapis.com/maps/api/geocode/json?address=PEPIRÍ 254, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PEPIRÍ 254, CABA, Argentina&format=json",#NAME?,#NAME?,254,Pablo Fernández,"LINESTRING (-58.399064 -34.636011, -58.3988878 -34.6359238)"
47,STARWARE,Nac.,SOFTWARE,En Operación,DR. PEDRO CHUTRO 3090,DR. PEDRO CHUTRO 3090,-34.642304,-58.405829,[],,,,,,,,,-34.642304,-58.405829,-34.6422795,-58.4059091,"LINESTRING(-58.405829 -34.642304,-58.4059091 -34.6422795)","https://maps.googleapis.com/maps/api/geocode/json?address=DR. PEDRO CHUTRO 3090, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DR. PEDRO CHUTRO 3090, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.408949 -34.641037, -58.4090025 -34.6410635)"
48,DATA FACTORY,Nac.,SOFTWARE,En Operación,PATAGONES 2827 PISO 1,PATAGONES 2827,-34.637695,-58.402283,[],,,,,,,,,-34.637695,-58.402283,-34.637673,-58.402214,"LINESTRING(-58.402283 -34.637695,-58.402214 -34.637673)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2827, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2827, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.405829 -34.642304, -58.4059091 -34.6422795)"
49,COS ARGENTINA,Nac.,SOFTWARE,En Operación,DR. PEDRO CHUTRO 3302,DR. PEDRO CHUTRO 3302,-34.642738,-58.409018,[],,,,,,,,,-34.642738,-58.409018,-34.6426801,-58.4088542,"LINESTRING(-58.409018 -34.642738,-58.4088542 -34.6426801)","https://maps.googleapis.com/maps/api/geocode/json?address=DR. PEDRO CHUTRO 3302, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DR. PEDRO CHUTRO 3302, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.402283 -34.637695, -58.402214 -34.637673)"
